"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Sep 28 17:44:27 MSK 2022","Wed Sep 28 17:44:41 MSK 2022","14301","","gitLabTests.UiTests","","gitLabTests.UiTests","calcPlusTest","calcPlusTest()",""
"passed","Wed Sep 28 17:43:27 MSK 2022","Wed Sep 28 17:43:28 MSK 2022","699","","gitLabTests.ApiTests","","gitLabTests.ApiTests","firstMemberIsRobert","firstMemberIsRobert()",""
"passed","Wed Sep 28 17:26:48 MSK 2022","Wed Sep 28 17:26:51 MSK 2022","3739","","gitlabTests.UiTests","","gitlabTests.UiTests","calcDevideTest","calcDevideTest()",""
"passed","Wed Sep 28 17:30:15 MSK 2022","Wed Sep 28 17:30:26 MSK 2022","10999","","gitlabTests.UiTests","","gitlabTests.UiTests","calcPlusTest2","calcPlusTest2()",""
"passed","Wed Sep 28 17:43:15 MSK 2022","Wed Sep 28 17:43:24 MSK 2022","8628","","gitLabTests.ApiTests","","gitLabTests.ApiTests","crewMembersIs30","crewMembersIs30()",""
"passed","Wed Sep 28 17:43:24 MSK 2022","Wed Sep 28 17:43:27 MSK 2022","3038","","gitLabTests.ApiTests","","gitLabTests.ApiTests","checkLinksIsFour","checkLinksIsFour()",""
"passed","Wed Sep 28 17:26:43 MSK 2022","Wed Sep 28 17:26:48 MSK 2022","4282","","gitlabTests.UiTests","","gitlabTests.UiTests","calcMinusTest","calcMinusTest()",""
"passed","Wed Sep 28 17:43:28 MSK 2022","Wed Sep 28 17:43:29 MSK 2022","950","","gitLabTests.ApiTests","","gitLabTests.ApiTests","checkCeoIsElonMusk","checkCeoIsElonMusk()",""
"passed","Wed Sep 28 17:43:29 MSK 2022","Wed Sep 28 17:43:30 MSK 2022","1023","","gitLabTests.ApiTests","","gitLabTests.ApiTests","lastMemberHasNoLaunches","lastMemberHasNoLaunches()",""
"passed","Wed Sep 28 17:26:51 MSK 2022","Wed Sep 28 17:26:56 MSK 2022","4135","","gitlabTests.UiTests","","gitlabTests.UiTests","calcPlusTest","calcPlusTest()",""
"passed","Wed Sep 28 17:26:56 MSK 2022","Wed Sep 28 17:26:59 MSK 2022","3484","","gitlabTests.UiTests","","gitlabTests.UiTests","calcMultipyTest","calcMultipyTest()",""
